"00021 \mathexclam
"021AE \nleftrightarrow
"021AF \downzigzagarrow
"021B0 \Lsh
"021B1 \Rsh
"021B2 \Ldsh
"021B3 \Rdsh
"021B4 \linefeed
"021B5 \carriagereturn
"021B6 \curvearrowleft
"021B7 \curvearrowright
"021B8 \barovernorthwestarrow
"021B9 \barleftarrowrightarrowbar
"021BA \acwopencirclearrow
"021BB \cwopencirclearrow
"021BC \leftharpoonup
"021BD \leftharpoondown
"021BE \upharpoonright
"021BF \upharpoonleft
"021C0 \rightharpoonup
"021C1 \rightharpoondown
"021C2 \downharpoonright
"021C3 \downharpoonleft
"021C4 \rightleftarrows
"021C5 \updownarrows
"021C6 \leftrightarrows
"021C7 \leftleftarrows
"021C8 \upuparrows
"021C9 \rightrightarrows
"021CA \downdownarrows
"021CB \leftrightharpoons
"021CC \rightleftharpoons
"021CD \nLeftarrow
"021CE \nLeftrightarrow
"021CF \nRightarrow
"021D0 \Leftarrow
"021D1 \Uparrow
"021D2 \Rightarrow
"021D3 \Downarrow
"021D4 \Leftrightarrow
"021D5 \Updownarrow
"021D6 \Nwarrow
"021D7 \Nearrow
"021D8 \Searrow
"021D9 \Swarrow
"021DA \Lleftarrow
"021DB \Rrightarrow
"021DC \leftsquigarrow
"021DD \rightsquigarrow
"021DE \nHuparrow
"021DF \nHdownarrow
"021E0 \leftdasharrow
"021E1 \updasharrow
"021E2 \rightdasharrow
"021E3 \downdasharrow
"021E4 \barleftarrow
"021E5 \rightarrowbar
"021E6 \leftwhitearrow
"021E7 \upwhitearrow

"021E8 \rightwhitearrow
"021E9 \downwhitearrow
"021EA \whitearrowupfrombar
"021F4 \circleonrightarrow
"021F5 \downuparrows
"021F6 \rightthreearrows
"021F7 \nvleftarrow
"021F8 \nvrightarrow
"021F9 \nvleftrightarrow
"021FA \nVleftarrow
"021FB \nVrightarrow
"021FC \nVleftrightarrow
"021FD \leftarrowtriangle
"021FE \rightarrowtriangle
"021FF \leftrightarrowtriangle
"02200 \forall
"02201 \complement
"02202 \partial
"02203 \exists
"02204 \nexists
"02205 \varnothing
"02206 \increment
"02207 \nabla
"02208 \in
"02209 \notin
"0220A \smallin
"0220B \ni
"0220C \nni
"0220D \smallni
"0220E \QED
"0220F \prod
"02210 \coprod
"02211 \sum
"02212 \minus
"02213 \mp
"02214 \dotplus
"02215 \divslash
"02216 \smallsetminus
"02217 \ast
"02218 \vysmwhtcircle "02219 \vysmblkcircle "0221A \sqrt √ "0221A \surd
"0221B \cuberoot
"0221C \fourthroot
"0221D \propto
"0221E \infty
"0221F \rightangle
"02220 \angle
"02221 \measuredangle
"02222 \sphericalangle
"02223 \mid
"02224 \nmid
"02225 \parallel
"02226 \nparallel
"02227 \wedge
"02228 \vee
"02229 \cap
"0222A \cup
"0222B \int
"0222C \iint
"0222D \iiint
"0222E \oint
"0222F \oiint
"02230 \oiiint
"02231 \intclockwise
"02232 \varointclockwise
"02233 \ointctrclockwise
"02234 \therefore
"02235 \because
"02236 \mathratio
"02237 \Colon
"02238 \dotminus
"02239 \dashcolon
"0223A \dotsminusdots
"0223B \kernelcontraction
"0223C \sim
"0223D \backsim
"0223E \invlazys
"0223F \sinewave
"02240 \wr
"02241 \nsim
"02242 \eqsim
"02243 \simeq
"02244 \nsime
"02243 \sime
"02244 \nsimeq
"02245 \cong
"02246 \simneqq
"02247 \ncong
"02248 \approx
"02249 \napprox
"0224A \approxeq
"0224B \approxident
"0224C \backcong
"0224D \asymp
"0224E \Bumpeq
"0224F \bumpeq
"02250 \doteq
"02251 \Doteq
"02252 \fallingdotseq
"02253 \risingdotseq

"02254 \coloneq
"02255 \eqcolon
"02256 \eqcirc
"02257 \circeq
"02258 \arceq
"02259 \wedgeq
"0225A \veeeq
"0225B \stareq
"0225C \triangleq
"0225D \eqdef
"0225E \measeq
"0225F \questeq
"02260 \ne
"02261 \equiv
"02262 \nequiv
"02263 \Equiv
"02264 \leq
"02265 \geq
"02266 \leqq
"02267 \geqq
"02268 \lneqq
"02269 \gneqq
"0226A \ll
"0226B \gg
"0226C \between
"0226D \nasymp
"0226E \nless
"0226F \ngtr
"02270 \nleq
"02271 \ngeq
"02272 \lesssim
"02273 \gtrsim
"02274 \nlesssim
"02275 \ngtrsim
"02276 \lessgtr
"02277 \gtrless
"02278 \nlessgtr
"02279 \ngtrless
"0227A \prec
"0227B \succ
"0227C \preccurlyeq
"0227D \succcurlyeq
"0227E \precsim
"0227F \succsim
"02280 \nprec
"02281 \nsucc
"02282 \subset
"02283 \supset
"02284 \nsubset
"02285 \nsupset
"02286 \subseteq
"02287 \supseteq
"02288 \nsubseteq
"02289 \nsupseteq
"0228A \subsetneq
"0228B \supsetneq
"0228C \cupleftarrow
"0228D \cupdot
"0228E \uplus
"0228F \sqsubset
"02290 \sqsupset
"02291 \sqsubseteq
"02292 \sqsupseteq
"02293 \sqcap
"02294 \sqcup
"02295 \oplus
"02296 \ominus
"02297 \otimes
"02298 \oslash
"02299 \odot
"0229A \circledcirc
"0229B \circledast
"0229C \circledequal
"0229D \circleddash
"0229E \boxplus
"0229F \boxminus
"022A0 \boxtimes
"022A1 \boxdot
"022A2 \vdash
"022A3 \dashv
"022A4 \top
"022A5 \bot
"022A6 \assert
"022A7 \models
"022A8 \vDash
"022A9 \Vdash
"022AA \Vvdash
"022AB \VDash
"022AC \nvdash
"022AD \nvDash
"022AE \nVdash
"022AF \nVDash
"022B0 \prurel
"022B1 \scurel
"022B2 \vartriangleleft
"022B3 \vartriangleright
"022B4 \trianglelefteq
"022B5 \trianglerighteq
"022B6 \origof
"022B7 \imageof
"022B8 \multimap
"022B9 \hermitmatrix

"022BA \intercal
"022BB \veebar
"022BC \barwedge
"022BD \barvee
"022BE \measuredrightangle
"022BF \varlrtriangle
"022C0 \bigwedge
"022C1 \bigvee
"022C2 \bigcap
"022C3 \bigcup
"022C4 \smwhtdiamond
"022C5 \cdot
"022C6 \star
"022C7 \divideontimes
"022C8 \bowtie
"022C9 \ltimes
"022CA \rtimes
"022CB \leftthreetimes
"022CC \rightthreetimes
"022CD \backsimeq
"022CE \curlyvee
"022CF \curlywedge
"022D0 \Subset
"022D1 \Supset
"022D2 \Cap
"022D3 \Cup
"022D4 \pitchfork
"022D5 \equalparallel
"022D6 \lessdot
"022D7 \gtrdot
"022D8 \lll
"022D9 \ggg
"022DA \lesseqgtr
"022DB \gtreqless
"022DC \eqless
"022DD \eqgtr
"022DE \curlyeqprec
"022DF \curlyeqsucc
"022E0 \npreccurlyeq
"022E1 \nsucccurlyeq
"022E2 \nsqsubseteq
"022E3 \nsqsupseteq
"022E4 \sqsubsetneq
"022E5 \sqsupsetneq
"022E6 \lnsim
"022E7 \gnsim
"022E8 \precnsim
"022E9 \succnsim
"022EA \nvartriangleleft
"022EB \nvartriangleright
"022EC \ntrianglelefteq
"022ED \ntrianglerighteq
"022EE \vdots
"022EF \unicodecdots
"022F0 \adots
"022F1 \ddots
"022F2 \disin
"022F3 \varisins
"022F4 \isins
"022F5 \isindot
"022F6 \varisinobar
"022F7 \isinobar
"022F8 \isinvb
"022F9 \isinE
"022FA \nisd
"022FB \varnis
"022FC \nis
"022FD \varniobar
"022FE \niobar
"022FF \bagmember
"02300 \diameter
"02302 \house
"02305 \varbarwedge
"02306 \vardoublebarwedge
"02308 \lceil
"02309 \rceil
"0230A \lfloor
"0230B \rfloor
"02310 \invnot
"02311 \sqlozenge
"02312 \profline
"02313 \profsurf
"02317 \viewdata
"02319 \turnednot
"0231C \ulcorner
"0231D \urcorner
"0231E \llcorner
"0231F \lrcorner
"02320 \inttop
"02321 \intbottom
"02322 \frown
"02323 \smile
"0232C \varhexagonlrbonds
"02332 \conictaper
"02336 \topbot
"0233D \obar
"0233F \APLnotslash
"02340 \APLnotbackslash
"02353 \APLboxupcaret
"02370 \APLboxquestion
"0237C \rangledownzigzagarrow
"02394 \hexagon

"0239B \lparenuend
"0239C \lparenextender
"0239D \lparenlend
"0239E \rparenuend
"0239F \rparenextender
"023A0 \rparenlend
"023A1 \lbrackuend
"023A2 \lbrackextender
"023A3 \lbracklend
"023A4 \rbrackuend
"023A5 \rbrackextender
"023A6 \rbracklend
"023A7 \lbraceuend
"023A8 \lbracemid
"023A9 \lbracelend
"023AA \vbraceextender
"023AB \rbraceuend
"023AC \rbracemid
"023AD \rbracelend
"023AE \intextender
"023AF \harrowextender
"023B0 \lmoustache
"023B1 \rmoustache
"023B2 \sumtop
"023B3 \sumbottom
"023B4 \overbracket
"023B5 \underbracket
"023B6 \bbrktbrk
"023B7 \sqrtbottom
"023B8 \lvboxline
"023B9 \rvboxline
"023CE \varcarriagereturn
"023DC \overparen
"023DD \underparen
"023DE \overbrace
"023DF \underbrace
"023E0 \obrbrak
"023E1 \ubrbrak
"023E2 \trapezium
"023E3 \benzenr
"023E4 \strns
"023E5 \fltns
"023E6 \accurrent
"023E7 \elinters
"02422 \blanksymbol
"02423 \mathvisiblespace
"02506 \bdtriplevdash
"02580 \blockuphalf
"02584 \blocklowhalf
"02588 \blockfull
"0258C \blocklefthalf
"02590 \blockrighthalf
"02591 \blockqtrshaded
"02592 \blockhalfshaded
"02593 \blockthreeqtrshaded
"025A0 \mdlgblksquare
"025A1 \mdlgwhtsquare
"025A2 \squoval
"025A3 \blackinwhitesquare
"025A4 \squarehfill
"025A5 \squarevfill
"025A6 \squarehvfill
"025A7 \squarenwsefill
"025A8 \squareneswfill
"025A9 \squarecrossfill
"025AA \smblksquare
"025AB \smwhtsquare
"025AC \hrectangleblack
"025AD \hrectangle
"025AE \vrectangleblack
"025AF \vrectangle
"025B0 \parallelogramblack
"025B1 \parallelogram
"025B2 \bigblacktriangleup
"025B3 \bigtriangleup
"025B4 \blacktriangle
"025B5 \vartriangle
"025B6 \blacktriangleright
"025B7 \triangleright
"025B8 \smallblacktriangleright
"025B9 \smalltriangleright
"025BA \blackpointerright
"025BB \whitepointerright
"025BC \bigblacktriangledown
"025BD \bigtriangledown
"025BE \blacktriangledown
"025BF \triangledown
"025C0 \blacktriangleleft
"025C1 \triangleleft
"025C2 \smallblacktriangleleft
"025C3 \smalltriangleleft
"025C4 \blackpointerleft
"025C5 \whitepointerleft
"025C6 \mdlgblkdiamond
"025C7 \mdlgwhtdiamond
"025C8 \blackinwhitediamond
"025C9 \fisheye
"025CA \mdlgwhtlozenge
"025CB \mdlgwhtcircle
"025CC \dottedcircle
"025CD \circlevertfill
"025CE \bullseye

"025CF \mdlgblkcircle
"025D0 \circlelefthalfblack
"025D1 \circlerighthalfblack
"025D2 \circlebottomhalfblack
"025D3 \circletophalfblack
"025D4 \circleurquadblack
"025D5 \blackcircleulquadwhite
"025D6 \blacklefthalfcircle
"025D7 \blackrighthalfcircle
"025D8 \inversebullet
"025D9 \inversewhitecircle
"025DA \invwhiteupperhalfcircle
"025DB \invwhitelowerhalfcircle
"025DC \ularc
"025DD \urarc
"025DE \lrarc
"025DF \llarc
"025E0 \topsemicircle
"025E1 \botsemicircle
"025E2 \lrblacktriangle
"025E3 \llblacktriangle
"025E4 \ulblacktriangle
"025E5 \urblacktriangle
"025E6 \smwhtcircle
"025E7 \squareleftblack
"025E8 \squarerightblack
"025E9 \squareulblack
"025EA \squarelrblack
"025EB \boxbar
"025EC \trianglecdot
"025ED \triangleleftblack
"025EE \trianglerightblack
"025EF \lgwhtcircle
"025F0 \squareulquad
"025F1 \squarellquad
"025F2 \squarelrquad
"025F3 \squareurquad
"025F4 \circleulquad
"025F5 \circlellquad
"025F6 \circlelrquad
"025F7 \circleurquad
"025F8 \ultriangle
"025F9 \urtriangle
"025FA \lltriangle
"025FB \mdwhtsquare
"025FC \mdblksquare
"025FD \mdsmwhtsquare
"025FE \mdsmblksquare
"025FF \lrtriangle
"02605 \bigstar
"02606 \bigwhitestar
"02609 \astrosun
"02621 \danger
"0263B \blacksmiley
"0263C \sun
"0263D \rightmoon
"0263E \leftmoon
"02640 \female
"02642 \male
"02660 \spadesuit
"02661 \heartsuit
"02662 \diamondsuit
"02663 \clubsuit
"02664 \varspadesuit
"02665 \varheartsuit
"02666 \vardiamondsuit
"02667 \varclubsuit
"02669 \quarternote
"0266A \eighthnote
"0266B \twonotes
"0266D \flat
"0266E \natural
"0266F \sharp
"0267E \acidfree
"02680 \dicei
"02681 \diceii
"02682 \diceiii
"02683 \diceiv
"02684 \dicev
"02685 \dicevi
"02686 \circledrightdot
"02687 \circledtwodots
"02688 \blackcircledrightdot
"02689 \blackcircledtwodots
"026A5 \Hermaphrodite
"026AA \mdwhtcircle
"026AB \mdblkcircle
"026AC \mdsmwhtcircle
"026B2 \neuter
"02713 \checkmark
"02720 \maltese
"0272A \circledstar
"02736 \varstar
"0273D \dingasterisk
"02772 \lbrbrak
"02773 \rbrbrak
"0279B \draftingarrow
"027C0 \threedangle
"027C1 \whiteinwhitetriangle
"027C2 \perp
"027C3 \subsetcirc
"027C4 \supsetcirc

"027C5 \lbag
"027C6 \rbag
"027C7 \veedot
"027C8 \bsolhsub
"027C9 \suphsol
"027CC \longdivision
"027D0 \diamondcdot
"027D1 \wedgedot
"027D2 \upin
"027D3 \pullback
"027D4 \pushout
"027D5 \leftouterjoin
"027D6 \rightouterjoin
"027D7 \fullouterjoin
"027D8 \bigbot
"027D9 \bigtop
"027DA \DashVDash
"027DB \dashVdash
"027DC \multimapinv
"027DD \vlongdash
"027DE \longdashv
"027DF \cirbot
"027E0 \lozengeminus
"027E1 \concavediamond
"027E2 \concavediamondtickleft
"027E3 \concavediamondtickright
"027E4 \whitesquaretickleft
"027E5 \whitesquaretickright
"027E6 \lBrack
"027E7 \rBrack
"027E8 \langle
"027E9 \rangle
"027EA \lAngle
"027EB \rAngle
"027EC \Lbrbrak
"027ED \Rbrbrak
"027EE \lgroup
"027EF \rgroup
"027F0 \UUparrow
"027F1 \DDownarrow
"027F2 \acwgapcirclearrow
"027F3 \cwgapcirclearrow
"027F4 \rightarrowonoplus
"027F5 \longleftarrow
"027F6 \longrightarrow
"027F7 \longleftrightarrow
"027F8 \Longleftarrow
"027F9 \Longrightarrow
"027FA \Longleftrightarrow
"027FB \longmapsfrom
"027FC \longmapsto
"027FD \Longmapsfrom
"027FE \Longmapsto
"027FF \longrightsquigarrow
"02900 \nvtwoheadrightarrow
"02901 \nVtwoheadrightarrow
"02902 \nvLeftarrow
"02903 \nvRightarrow
"02904 \nvLeftrightarrow
"02905 \twoheadmapsto
"02906 \Mapsfrom
"02907 \Mapsto
"02908 \downarrowbarred
"02909 \uparrowbarred
"0290A \Uuparrow
"0290B \Ddownarrow
"0290C \leftbkarrow
"0290D \rightbkarrow
"0290E \leftdbkarrow
"0290F \dbkarrow
"02910 \drbkarrow
"02911 \rightdotarrow
"02912 \baruparrow
"02913 \downarrowbar
"02914 \nvrightarrowtail
"02915 \nVrightarrowtail
"02916 \twoheadrightarrowtail
"02917 \nvtwoheadrightarrowtail
"02918 \nVtwoheadrightarrowtail
"02919 \lefttail
"0291A \righttail
"0291B \leftdbltail
"0291C \rightdbltail
"0291D \diamondleftarrow
"0291E \rightarrowdiamond
"0291F \diamondleftarrowbar
"02920 \barrightarrowdiamond
"02921 \nwsearrow
"02922 \neswarrow
"02923 \hknwarrow
"02924 \hknearrow
"02925 \hksearrow
"02926 \hkswarrow
"02927 \tona
"02928 \toea
"02929 \tosa
"0292A \towa
"0292B \rdiagovfdiag
"0292C \fdiagovrdiag
"0292D \seovnearrow
"0292E \neovsearrow
"0292F \fdiagovnearrow

"02930 \rdiagovsearrow
"02931 \neovnwarrow
"02932 \nwovnearrow
"02933 \rightcurvedarrow
"02934 \uprightcurvearrow
"02935 \downrightcurvedarrow
"02936 \leftdowncurvedarrow
"02937 \rightdowncurvedarrow
"02938 \cwrightarcarrow
"02939 \acwleftarcarrow
"0293A \acwoverarcarrow
"0293B \acwunderarcarrow
"0293C \curvearrowrightminus
"0293D \curvearrowleftplus
"0293E \cwundercurvearrow
"0293F \ccwundercurvearrow
"02940 \acwcirclearrow
"02941 \cwcirclearrow
"02942 \rightarrowshortleftarrow
"02943 \leftarrowshortrightarrow
"02944 \shortrightarrowleftarrow
"02945 \rightarrowplus
"02946 \leftarrowplus
"02947 \rightarrowx
"02948 \leftrightarrowcircle
"02949 \twoheaduparrowcircle
"0294A \leftrightharpoonupdown
"0294B \leftrightharpoondownup
"0294C \updownharpoonrightleft
"0294D \updownharpoonleftright
"0294E \leftrightharpoonupup
"0294F \updownharpoonrightright
"02950 \leftrightharpoondowndown
"02951 \updownharpoonleftleft
"02952 \barleftharpoonup
"02953 \rightharpoonupbar
"02954 \barupharpoonright
"02955 \downharpoonrightbar
"02956 \barleftharpoondown
"02957 \rightharpoondownbar
"02958 \barupharpoonleft
"02959 \downharpoonleftbar
"0295A \leftharpoonupbar
"0295B \barrightharpoonup
"0295C \upharpoonrightbar
"0295D \bardownharpoonright
"0295E \leftharpoondownbar
"0295F \barrightharpoondown
"02960 \upharpoonleftbar
"02961 \bardownharpoonleft
"02962 \leftharpoonsupdown
"02963 \upharpoonsleftright
"02964 \rightharpoonsupdown
"02965 \downharpoonsleftright
"02966 \leftrightharpoonsup
"02967 \leftrightharpoonsdown
"02968 \rightleftharpoonsup
"02969 \rightleftharpoonsdown
"0296A \leftharpoonupdash
"0296B \dashleftharpoondown
"0296C \rightharpoonupdash
"0296D \dashrightharpoondown
"0296E \updownharpoonsleftright
"0296F \downupharpoonsleftright
"02970 \rightimply
"02971 \equalrightarrow
"02972 \similarrightarrow
"02973 \leftarrowsimilar
"02974 \rightarrowsimilar
"02975 \rightarrowapprox
"02976 \ltlarr
"02977 \leftarrowless
"02978 \gtrarr
"02979 \subrarr
"0297A \leftarrowsubset
"0297B \suplarr
"0297C \leftfishtail
"0297D \rightfishtail
"0297E \upfishtail
"0297F \downfishtail
"02980 \Vvert
"02981 \mdsmblkcircle
"02982 \typecolon
"02983 \lBrace
"02984 \rBrace
"02985 \lParen
"02986 \rParen
"02987 \llparenthesis
"02988 \rrparenthesis
"02989 \llangle
"0298A \rrangle
"0298B \lbrackubar
"0298C \rbrackubar
"0298D \lbrackultick
"0298E \rbracklrtick
"0298F \lbracklltick
"02990 \rbrackurtick
"02991 \langledot
"02992 \rangledot
"02993 \lparenless
"02994 \rparengtr
"02995 \Lparengtr

"02996 \Rparenless
"02997 \lblkbrbrak
"02998 \rblkbrbrak
"02999 \fourvdots
"0299A \vzigzag
"0299B \measuredangleleft
"0299C \rightanglesqr
"0299D \rightanglemdot
"0299E \angles
"0299F \angdnr
"029A0 \gtlpar
"029A1 \sphericalangleup
"029A2 \turnangle
"029A3 \revangle
"029A4 \angleubar
"029A5 \revangleubar
"029A6 \wideangledown
"029A7 \wideangleup
"029A8 \measanglerutone
"029A9 \measanglelutonw
"029AA \measanglerdtose
"029AB \measangleldtosw
"029AC \measangleurtone
"029AD \measangleultonw
"029AE \measangledrtose
"029AF \measangledltosw
"029B0 \revemptyset
"029B1 \emptysetobar
"029B2 \emptysetocirc
"029B3 \emptysetoarr
"029B4 \emptysetoarrl
"029B5 \circlehbar
"029B6 \circledvert
"029B7 \circledparallel
"029B8 \obslash
"029B9 \operp
"029BA \obot
"029BB \olcross
"029BC \odotslashdot
"029BD \uparrowoncircle
"029BE \circledwhitebullet
"029BF \circledbullet
"029C0 \olessthan
"029C1 \ogreaterthan
"029C2 \cirscir
"029C3 \cirE
"029C4 \boxdiag
"029C5 \boxbslash
"029C6 \boxast
"029C7 \boxcircle
"029C8 \boxbox
"029C9 \boxonbox
"029CA \triangleodot
"029CB \triangleubar
"029CC \triangles
"029CD \triangleserifs
"029CE \rtriltri
"029CF \ltrivb
"029D0 \vbrtri
"029D1 \lfbowtie
"029D2 \rfbowtie
"029D3 \fbowtie
"029D4 \lftimes
"029D5 \rftimes
"029D6 \hourglass
"029D7 \blackhourglass
"029D8 \lvzigzag
"029D9 \rvzigzag
"029DA \Lvzigzag
"029DB \Rvzigzag
"029DC \iinfin
"029DD \tieinfty
"029DE \nvinfty
"029DF \dualmap
"029E0 \laplac
"029E1 \lrtriangleeq
"029E2 \shuffle
"029E3 \eparsl
"029E4 \smeparsl
"029E5 \eqvparsl
"029E6 \gleichstark
"029E7 \thermod
"029E8 \downtriangleleftblack
"029E9 \downtrianglerightblack
"029EA \blackdiamonddownarrow
"029EB \mdlgblklozenge
"029EC \circledownarrow
"029ED \blackcircledownarrow
"029EE \errbarsquare
"029EF \errbarblacksquare
"029F0 \errbardiamond
"029F1 \errbarblackdiamond
"029F2 \errbarcircle
"029F3 \errbarblackcircle
"029F4 \ruledelayed
"029F5 \setminus
"029F6 \dsol
"029F7 \rsolbar
"029F8 \xsol
"029F9 \xbsol
"029FA \doubleplus
"029FB \tripleplus

"029FC \lcurvyangle
"029FD \rcurvyangle
"029FE \tplus
"029FF \tminus
"02A00 \bigodot
"02A01 \bigoplus
"02A02 \bigotimes
"02A03 \bigcupdot
"02A04 \biguplus
"02A05 \bigsqcap
"02A06 \bigsqcup
"02A07 \conjquant
"02A08 \disjquant
"02A09 \bigtimes
"02A0A \modtwosum
"02A0B \sumint
"02A0C \iiiint
"02A0D \intbar
"02A0E \intBar
"02A0F \fint
"02A10 \cirfnint
"02A11 \awint
"02A12 \rppolint
"02A13 \scpolint
"02A14 \npolint
"02A15 \pointint
"02A16 \sqint
"02A17 \intlarhk
"02A18 \intx
"02A19 \intcap
"02A1A \intcup
"02A1B \upint
"02A1C \lowint
"02A1D \Join
"02A1E \bigtriangleleft
"02A1F \zcmp
"02A20 \zpipe
"02A21 \zproject
"02A22 \ringplus
"02A23 \plushat
"02A24 \simplus
"02A25 \plusdot
"02A26 \plussim
"02A27 \plussubtwo
"02A28 \plustrif
"02A29 \commaminus
"02A2A \minusdot
"02A2B \minusfdots
"02A2C \minusrdots
"02A2D \opluslhrim
"02A2E \oplusrhrim
"02A2F \vectimes
"02A30 \dottimes
"02A31 \timesbar
"02A32 \btimes
"02A33 \smashtimes
"02A34 \otimeslhrim
"02A35 \otimesrhrim
"02A36 \otimeshat
"02A37 \Otimes
"02A38 \odiv
"02A39 \triangleplus
"02A3A \triangleminus
"02A3B \triangletimes
"02A3C \intprod
"02A3D \intprodr
"02A3E \fcmp
"02A3F \amalg
"02A40 \capdot
"02A41 \uminus
"02A42 \barcup
"02A43 \barcap
"02A44 \capwedge
"02A45 \cupvee
